Date,Block,Demand
01-09-2022,1,25189
01-09-2022,2,25361
01-09-2022,3,25358
01-09-2022,4,25077
01-09-2022,5,24678
01-09-2022,6,24390
01-09-2022,7,24517
01-09-2022,8,23251.75
01-09-2022,9,24308
01-09-2022,10,24191
01-09-2022,11,24070
01-09-2022,12,23952
01-09-2022,13,23610
01-09-2022,14,23576
01-09-2022,15,23428
01-09-2022,16,23469
01-09-2022,17,23349
01-09-2022,18,23391
01-09-2022,19,23037
01-09-2022,20,22826
01-09-2022,21,20395.75
01-09-2022,22,19894
01-09-2022,23,19836.5
01-09-2022,24,19175
01-09-2022,25,18680
01-09-2022,26,18896
01-09-2022,27,18667
01-09-2022,28,18593
01-09-2022,29,18499
01-09-2022,30,17398
01-09-2022,31,18704
01-09-2022,32,18955
01-09-2022,33,19410
01-09-2022,34,19939
01-09-2022,35,19540
01-09-2022,36,19863
01-09-2022,37,20287
01-09-2022,38,20569
01-09-2022,39,21100
01-09-2022,40,20953
01-09-2022,41,21075
01-09-2022,42,19882.25
01-09-2022,43,20047.25
01-09-2022,44,21424
01-09-2022,45,21158
01-09-2022,46,21574
01-09-2022,47,20168.9375
01-09-2022,48,21444
01-09-2022,49,20995
01-09-2022,50,20896
01-09-2022,51,20889
01-09-2022,52,21065
01-09-2022,53,20894
01-09-2022,54,20233.6875
01-09-2022,55,20955
01-09-2022,56,20653
01-09-2022,57,20354
01-09-2022,58,19982
01-09-2022,59,20214
01-09-2022,60,20281
01-09-2022,61,19986
01-09-2022,62,19947
01-09-2022,63,19641
01-09-2022,64,19457
01-09-2022,65,18358
01-09-2022,66,18768.25
01-09-2022,67,17626
01-09-2022,68,17680
01-09-2022,69,17559
01-09-2022,70,17499
01-09-2022,71,16955
01-09-2022,72,17407
01-09-2022,73,18197
01-09-2022,74,18888
01-09-2022,75,19545
01-09-2022,76,20150.75
01-09-2022,77,20897
01-09-2022,78,20761
01-09-2022,79,20793
01-09-2022,80,21045
01-09-2022,81,22179
01-09-2022,82,21917
01-09-2022,83,21759
01-09-2022,84,21651
01-09-2022,85,21961
01-09-2022,86,22590
01-09-2022,87,22186
01-09-2022,88,22120
01-09-2022,89,22231
01-09-2022,90,22185
01-09-2022,91,21866
